ID regola;Gravità;Area;Problema;URL / elemento;Dettaglio;Risolto dal toolkit
TEC-01;critical;technical;Due plugin SEO attivi contemporaneamente (Rank Math + Yoast);(sito);Rank Math su 326 contenuti e Yoast su 278 contenuti: entrambi installati;no
LOC-02;critical;local;Indirizzo fisico e dati aziendali (P.IVA) assenti;(sito);partita IVA non presente nel sito;sì
GEO-01;critical;generative;File llms.txt assente;(sito);"nessun llms.txt dichiarato (non presente nell’export, da verificare in root)";sì
GEO-02;critical;generative;"robots.txt non regola i crawler AI (GPTBot, ClaudeBot, PerplexityBot)";(sito);robots.txt da rigenerare con direttive esplicite per i crawler AI;sì
SCH-01;critical;structured;Nessun dato strutturato personalizzato (JSON-LD) nei contenuti;/privacy-policy;nessun JSON-LD nel contenuto;sì
SCH-01;critical;structured;Nessun dato strutturato personalizzato (JSON-LD) nei contenuti;/;nessun JSON-LD nel contenuto;sì
SCH-01;critical;structured;Nessun dato strutturato personalizzato (JSON-LD) nei contenuti;/digital-strategies;nessun JSON-LD nel contenuto;sì
SCH-01;critical;structured;Nessun dato strutturato personalizzato (JSON-LD) nei contenuti;/cookie-policy;nessun JSON-LD nel contenuto;sì
SCH-01;critical;structured;Nessun dato strutturato personalizzato (JSON-LD) nei contenuti;/servizi-digitali-palermo;nessun JSON-LD nel contenuto;sì
SCH-01;critical;structured;Nessun dato strutturato personalizzato (JSON-LD) nei contenuti;/realizzazione-siti-web-a-palermo;nessun JSON-LD nel contenuto;sì
SCH-01;critical;structured;Nessun dato strutturato personalizzato (JSON-LD) nei contenuti;/gestione-social-media-palermo;nessun JSON-LD nel contenuto;sì
SCH-01;critical;structured;Nessun dato strutturato personalizzato (JSON-LD) nei contenuti;/digital-marketing-palermo;nessun JSON-LD nel contenuto;sì
SCH-01;critical;structured;Nessun dato strutturato personalizzato (JSON-LD) nei contenuti;/produzione-video-palermo;nessun JSON-LD nel contenuto;sì
SCH-01;critical;structured;Nessun dato strutturato personalizzato (JSON-LD) nei contenuti;/realizzazione-e-commerce-palermo;nessun JSON-LD nel contenuto;sì
SCH-01;critical;structured;Nessun dato strutturato personalizzato (JSON-LD) nei contenuti;/graphic-design-palermo;nessun JSON-LD nel contenuto;sì
SCH-01;critical;structured;Nessun dato strutturato personalizzato (JSON-LD) nei contenuti;/sviluppo-crm-gestionali-palermo;nessun JSON-LD nel contenuto;sì
SCH-01;critical;structured;Nessun dato strutturato personalizzato (JSON-LD) nei contenuti;/naming-palermo;nessun JSON-LD nel contenuto;sì
SCH-01;critical;structured;Nessun dato strutturato personalizzato (JSON-LD) nei contenuti;/stampe-digitali-palermo;nessun JSON-LD nel contenuto;sì
SCH-01;critical;structured;Nessun dato strutturato personalizzato (JSON-LD) nei contenuti;/lavora-con-noi;nessun JSON-LD nel contenuto;sì
SCH-01;critical;structured;Nessun dato strutturato personalizzato (JSON-LD) nei contenuti;/innovazione-digitale-pmi-competitive;nessun JSON-LD nel contenuto;sì
SCH-01;critical;structured;Nessun dato strutturato personalizzato (JSON-LD) nei contenuti;/innovazione-digitale-palermo;nessun JSON-LD nel contenuto;sì
SCH-01;critical;structured;Nessun dato strutturato personalizzato (JSON-LD) nei contenuti;/cybersecurity-per-aziende;nessun JSON-LD nel contenuto;sì
SCH-01;critical;structured;Nessun dato strutturato personalizzato (JSON-LD) nei contenuti;/strategia-marketing-digitale;nessun JSON-LD nel contenuto;sì
SCH-01;critical;structured;Nessun dato strutturato personalizzato (JSON-LD) nei contenuti;/campagne-ai-driven-marketing-automation;nessun JSON-LD nel contenuto;sì
SCH-01;critical;structured;Nessun dato strutturato personalizzato (JSON-LD) nei contenuti;/gestione-social-media-presenza-online;nessun JSON-LD nel contenuto;sì
SCH-01;critical;structured;Nessun dato strutturato personalizzato (JSON-LD) nei contenuti;/design-responsivo-sito-web-successo-online;nessun JSON-LD nel contenuto;sì
SCH-01;critical;structured;Nessun dato strutturato personalizzato (JSON-LD) nei contenuti;/perche-un-sito-web-professionale-e-la-chiave-del-successo-per-ogni-impresa;nessun JSON-LD nel contenuto;sì
SCH-01;critical;structured;Nessun dato strutturato personalizzato (JSON-LD) nei contenuti;/come-creare-una-strategia-di-comunicazione-digitale-efficace-per-piccole-imprese;nessun JSON-LD nel contenuto;sì
SCH-01;critical;structured;Nessun dato strutturato personalizzato (JSON-LD) nei contenuti;/reputazione_online_cose_perche_conta_e_come_verificarla;nessun JSON-LD nel contenuto;sì
